Comuna;0 a 4;5 a 9;10 a 14;15 a 19;20 a 24;25 a 29;30 a 34;35 a 39;40 a 44;45 a 49;50 a 54;55 a 59;60 a 64;65 a 69;70 a 74;75 a 79;80 a 84;85 a 89;90 a 94;95 a 99;100+
OLIVAR;6.822;450;516;493;531;471;510;472;436;498;517;449;409;392;262;179;122;61;41;11;1;1
PEUMO;7.237;430;494;475;466;490;586;483;488;514;492;570;495;393;304;248;152;86;42;18;8;3
PICHIDEGUA;10.080;666;666;642;640;621;673;602;656;660;763;787;683;637;506;362;219;173;85;29;8;2
QUINTA DE TILCOCO;6.519;381;435;446;418;418;508;449;422;459;460;516;443;359;306;215;136;83;43;18;3;1
RENGO;28.844;2.021;2.215;2.094;2.043;2.057;2.441;2.017;1.931;1.935;1.948;1.912;1.719;1.426;1.077;872;545;308;204;59;15;5
REQUÍNOA;14.125;997;1.079;1.041;1.059;1.011;1.098;941;925;1.038;1.046;1.030;887;647;472;353;255;136;71;29;6;4
SAN VICENTE;23.302;1.462;1.732;1.608;1.580;1.393;1.673;1.531;1.532;1.639;1.599;1.754;1.529;1.294;972;815;547;361;197;58;17;9
PICHILEMU;8.289;532;542;549;504;460;613;609;578;574;593;605;596;470;392;279;178;121;68;23;2;1
LA ESTRELLA;1.603;63;95;86;83;78;99;103;95;116;110;146;141;116;96;71;48;31;18;6;0;2
LITUECHE;3.287;190;213;209;177;200;219;214;192;213;236;258;260;181;190;141;90;59;30;13;2;0
MARCHIHUE;3.745;191;207;228;209;207;246;236;225;287;282;320;274;220;200;151;132;74;36;14;5;1
NAVIDAD;3.475;196;188;170;176;162;221;197;210;215;260;267;271;232;223;192;137;99;43;16;0;0
PAREDONES;3.220;143;167;174;184;160;179;174;181;236;269;288;271;221;152;145;115;92;46;17;4;2
SAN FERNANDO;36.077;2.538;2.815;2.758;2.784;2.380;2.754;2.502;2.412;2.473;2.424;2.533;2.163;1.721;1.344;1.036;713;405;228;73;18;3
CHÉPICA;7.577;495;490;462;487;447;553;517;482;521;534;555;539;408;369;275;184;137;77;30;10;5
CHIMBARONGO;17.824;1.158;1.260;1.252;1.294;1.194;1.304;1.160;1.115;1.260;1.228;1.455;1.195;871;722;553;382;226;134;44;9;8
LOLOL;3.471;173;210;206;223;202;226;228;235;236;263;277;207;199;191;162;106;67;46;8;4;2
NANCAGUA;8.830;563;622;602;646;541;696;567;616;606;601;690;563;472;331;312;195;112;67;20;5;3
PALMILLA;6.331;382;401;436;372;386;437;430;437;450;435;516;502;345;261;231;143;95;50;16;5;1
PERALILLO;5.538;303;327;365;346;310;373;373;386;395;417;450;394;303;253;211;154;99;58;14;6;1
PLACILLA;4.432;266;294;314;289;291;339;261;261;336;297;365;318;230;217;124;104;59;51;11;3;2
PUMANQUE;1.751;94;89;80;90;113;122;114;107;116;130;153;127;105;107;75;56;35;26;7;4;1
SANTA CRUZ;18.593;1.222;1.307;1.296;1.233;1.105;1.395;1.355;1.319;1.348;1.348;1.345;1.183;950;767;538;409;260;160;33;11;9
TALCA;105.622;7.174;7.337;7.238;8.577;9.865;9.070;7.308;6.588;6.881;6.465;6.790;6.025;5.136;4.051;3.023;2.018;1.179;645;197;41;14
CONSTITUCIÓN;23.005;1.755;1.714;1.711;1.638;1.483;1.844;1.525;1.611;1.702;1.558;1.617;1.420;1.155;913;623;353;206;114;43;15;5
CUREPTO;4.852;208;259;297;314;242;253;262;250;331;370;382;381;375;268;234;192;126;75;25;6;2
EMPEDRADO;2.199;136;157;149;140;139;148;135;167;181;172;140;141;115;98;71;54;32;14;6;0;4
MAULE;24.259;2.194;2.390;2.056;1.853;1.665;1.928;1.963;1.947;1.830;1.510;1.384;1.093;850;615;452;261;147;80;30;8;3
PELARCO;4.231;298;271;294;273;279;310;233;240;272;295;324;283;238;202;174;97;84;39;17;4;4
PENCAHUE;4.242;220;298;239;291;242;240;197;260;295;338;345;335;283;214;203;98;76;45;18;4;1
RÍO CLARO;7.246;431;472;465;433;517;492;431;447;534;481;629;505;441;345;264;178;97;47;30;7;0
SAN CLEMENTE;21.677;1.492;1.580;1.526;1.482;1.567;1.600;1.267;1.223;1.512;1.486;1.587;1.408;1.198;966;770;506;274;167;46;16;4
SAN RAFAEL;4.569;333;347;354;322;332;322;241;238;293;325;310;299;262;207;171;103;61;36;11;1;1
CAUQUENES;19.314;1.294;1.331;1.393;1.297;1.064;1.264;1.106;1.209;1.299;1.327;1.464;1.274;1.106;820;727;604;382;227;98;24;4
CHANCO;4.450;270;281;320;254;224;277;268;271;279;346;360;356;278;197;180;128;93;54;9;2;3
PELLUHUE;3.765;238;259;252;208;176;254;251;268;250;256;256;249;220;213;155;135;72;40;12;1;0
CURICÓ;72.511;5.112;5.312;5.227;5.321;5.361;5.931;5.234;5.056;5.258;4.776;5.036;4.307;3.501;2.614;1.858;1.322;688;412;139;29;17
HUALAÑÉ;4.883;268;319;313;315;274;299;258;287;340;359;366;362;313;269;221;138;95;66;17;2;2
LICANTÉN;3.353;167;232;214;208;180;234;192;211;240;242;302;229;201;181;135;94;38;35;11;5;2
MOLINA;22.635;1.601;1.702;1.514;1.626;1.612;1.685;1.470;1.587;1.599;1.403;1.609;1.440;1.236;888;693;486;272;134;62;14;2
RAUCO;5.238;349;367;368;357;355;388;296;303;369;364;410;316;307;234;180;124;92;37;17;3;2
ROMERAL;7.624;486;487;518;536;486;572;517;499;614;591;581;489;387;321;217;166;93;40;21;2;1
SAGRADA FAMILIA;9.384;563;611;624;613;580;702;632;609;607;686;767;643;553;424;324;207;141;73;17;6;2
TENO;14.764;928;1.017;1.022;984;1.025;1.141;973;911;954;1.065;1.205;996;787;620;470;318;209;96;31;8;4
VICHUQUÉN;2.217;108;127;126;107;104;144;123;136;175;186;186;152;158;133;97;77;47;29;1;1;0
LINARES;44.671;3.216;3.522;3.238;3.415;2.964;3.258;3.019;2.945;2.920;2.857;3.251;2.723;2.254;1.802;1.327;918;582;319;105;23;13
COLBÚN;10.205;717;781;724;711;684;757;621;625;628;615;730;655;554;518;378;247;142;77;33;6;2
LONGAVÍ;15.482;1.015;994;1.075;991;978;1.053;973;966;1.047;1.114;1.232;1.123;878;709;591;363;197;123;42;13;5
PARRAL;20.165;1.417;1.569;1.490;1.315;1.119;1.392;1.254;1.214;1.382;1.409;1.505;1.296;1.133;915;732;496;305;145;65;9;3
RETIRO;10.054;658;701;670;666;554;607;582;545;692;772;860;748;590;511;379;256;142;79;30;9;3
