Comuna;0 a 4;5 a 9;10 a 14;15 a 19;20 a 24;25 a 29;30 a 34;35 a 39;40 a 44;45 a 49;50 a 54;55 a 59;60 a 64;65 a 69;70 a 74;75 a 79;80 a 84;85 a 89;90 a 94;95 a 99;100+
CALERA DE TANGO;25.392;1.643;1.815;1.854;1.951;2.151;2.048;1.573;1.629;1.856;1.763;1.872;1.636;1.209;871;631;380;255;171;56;20;8
PAINE;72.759;5.100;5.598;5.226;5.447;5.770;5.819;5.099;5.152;4.998;4.964;5.024;4.183;3.295;2.624;1.832;1.197;704;490;172;50;15
MELIPILLA;123.627;8.538;9.003;8.366;9.024;9.498;9.962;8.926;8.463;8.217;7.858;8.178;7.496;5.835;4.712;3.660;2.653;1.675;1.020;413;108;22
ALHUÉ;6.444;423;402;385;342;472;600;531;480;547;440;455;369;286;244;168;115;98;63;18;4;2
CURACAVÍ;32.579;2.240;2.325;2.160;2.234;2.508;2.526;2.274;2.194;2.084;2.133;2.319;2.103;1.610;1.267;1.033;732;472;241;92;23;9
MARÍA PINTO;13.590;926;973;893;931;1.011;1.102;959;921;891;937;987;814;686;494;410;287;193;113;45;13;4
SAN PEDRO;9.726;696;668;691;590;606;724;698;625;608;607;652;635;536;440;349;276;171;107;36;9;2
TALAGANTE;74.237;5.351;5.494;5.114;5.556;6.033;6.072;5.250;5.012;4.968;4.994;5.288;4.599;3.324;2.472;1.859;1.290;808;507;179;45;22
EL MONTE;35.923;2.825;2.747;2.518;2.623;2.876;2.985;2.613;2.335;2.357;2.312;2.431;2.096;1.551;1.220;954;662;442;233;105;32;6
ISLA DE MAIPO;36.219;2.610;2.731;2.620;2.686;2.832;2.805;2.517;2.414;2.530;2.427;2.564;2.152;1.634;1.244;1.014;625;412;249;117;29;7
PADRE HURTADO;63.250;5.017;4.729;4.462;4.624;4.955;5.491;5.137;4.579;4.471;4.052;4.243;3.319;2.575;2.020;1.456;1.011;595;344;113;32;25
PEÑAFLOR;90.201;6.555;6.789;6.568;6.791;7.280;7.062;5.955;6.076;6.777;6.421;6.035;5.064;3.876;3.074;2.358;1.635;961;587;262;58;17
RANCAGUA;241.774;16.457;17.576;16.837;16.878;17.474;20.008;17.717;16.720;16.411;15.878;16.139;14.335;12.158;9.450;7.042;4.842;3.068;1.869;702;168;45
CODEGUA;12.988;863;957;939;911;883;1.022;862;870;900;864;996;872;690;471;350;234;165;97;30;7;5
